tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_temp	measurement	method_codes	quality	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	1	37.9	-53.7	sr03f1-LP-DIR-AF	2.2e-05	273	29	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.06	0	0	0	273
This study	1	36.4	-53.2	sr03f1-LP-DIR-AF	1.75e-05	273	30	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.08	0	0	0	273
This study	1	36.9	-53.1	sr03f1-LP-DIR-AF	1.51e-05	273	31	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.1	0	0	0	273
This study	1	36.3	-52.8	sr03f1-LP-DIR-AF	1.35e-05	273	32	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.12	0	0	0	273
This study	1	36.3	-53	sr03f1-LP-DIR-AF	1.19e-05	273	33	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.14	0	0	0	273
This study	1	36.5	-52.7	sr03f1-LP-DIR-AF	1.03e-05	273	34	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.16	0	0	0	273
This study	1	34.9	-52.2	sr03f1-LP-DIR-AF	8.62e-06	273	35	LT-AF-Z:LP-DIR-AF	g	sr03f1	u	0.18	0	0	0	273
This study	1.1	34	-18.5	sr03h2-LP-DIR-AF	3.37e-05	273	36	LT-NO:LP-DIR-AF	g	sr03h2	u	0	0	0	0	273
This study	1.2	29.9	-18.8	sr03h2-LP-DIR-AF	3.31e-05	273	37	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.01	0	0	0	273
This study	1.4	30.3	-19.1	sr03h2-LP-DIR-AF	2.82e-05	273	38	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.02	0	0	0	273
This study	0.8	29.1	-19.2	sr03h2-LP-DIR-AF	2.41e-05	273	39	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.03	0	0	0	273
This study	1	29	-19.4	sr03h2-LP-DIR-AF	2.1e-05	273	40	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.04	0	0	0	273
This study	1	30.3	-19.6	sr03h2-LP-DIR-AF	1.7e-05	273	41	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.06	0	0	0	273
This study	1	30.4	-19.3	sr03h2-LP-DIR-AF	1.4e-05	273	42	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.08	0	0	0	273
This study	1	32	-19.3	sr03h2-LP-DIR-AF	1.15e-05	273	43	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.1	0	0	0	273
This study	1	30.1	-19.5	sr03h2-LP-DIR-AF	9.75e-06	273	44	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.12	0	0	0	273
This study	1	30.3	-19.4	sr03h2-LP-DIR-AF	8.16e-06	273	45	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.14	0	0	0	273
This study	1	28.9	-19.2	sr03h2-LP-DIR-AF	6.9e-06	273	46	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.16	0	0	0	273
This study	1	31.1	-19.2	sr03h2-LP-DIR-AF	5.66e-06	273	47	LT-AF-Z:LP-DIR-AF	g	sr03h2	u	0.18	0	0	0	273
This study	1.6	355.7	-43.9	sr03k1-LP-DIR-AF	8.24e-05	273	48	LT-NO:LP-DIR-AF	g	sr03k1	u	0	0	0	0	273
This study	1.4	356.9	-43.8	sr03k1-LP-DIR-AF	8.29e-05	273	49	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.01	0	0	0	273
This study	0.5	358.1	-43.8	sr03k1-LP-DIR-AF	8.1e-05	273	50	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.02	0	0	0	273
This study	0.5	357	-44	sr03k1-LP-DIR-AF	7.63e-05	273	51	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.03	0	0	0	273
This study	1	358.7	-44	sr03k1-LP-DIR-AF	6.95e-05	273	52	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.04	0	0	0	273
This study	1	357.1	-44.1	sr03k1-LP-DIR-AF	5.55e-05	273	53	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.06	0	0	0	273
This study	1	357.2	-43.8	sr03k1-LP-DIR-AF	4.3e-05	273	54	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.08	0	0	0	273
This study	1	357.4	-43.6	sr03k1-LP-DIR-AF	3.35e-05	273	55	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.1	0	0	0	273
This study	1	358.7	-43.3	sr03k1-LP-DIR-AF	2.65e-05	273	56	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.12	0	0	0	273
This study	1	359.5	-42.9	sr03k1-LP-DIR-AF	2e-05	273	57	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.14	0	0	0	273
This study	1	356.5	-43.1	sr03k1-LP-DIR-AF	1.69e-05	273	58	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.16	0	0	0	273
This study	1	357	-43.1	sr03k1-LP-DIR-AF	1.42e-05	273	59	LT-AF-Z:LP-DIR-AF	g	sr03k1	u	0.18	0	0	0	273
This study	0.8	190.9	2.4	sr04e1-LP-DIR-AF	3.24e-05	273	60	LT-NO:LP-DIR-AF	g	sr04e1	u	0	0	0	0	273
This study	1.6	188.1	-2.7	sr04e1-LP-DIR-AF	1.87e-05	273	61	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.01	0	0	0	273
This study	0.3	188.5	-3	sr04e1-LP-DIR-AF	1.53e-05	273	62	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.02	0	0	0	273
This study	2	187.7	-2.9	sr04e1-LP-DIR-AF	1.34e-05	273	63	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.03	0	0	0	273
This study	1	186.5	-2.7	sr04e1-LP-DIR-AF	1.19e-05	273	64	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.04	0	0	0	273
This study	1	186.9	-2.9	sr04e1-LP-DIR-AF	9.54e-06	273	65	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.06	0	0	0	273
This study	1	187.5	-2.7	sr04e1-LP-DIR-AF	7.64e-06	273	66	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.08	0	0	0	273
This study	1	186.4	-3.1	sr04e1-LP-DIR-AF	6.35e-06	273	67	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.1	0	0	0	273
This study	1	187	-2.8	sr04e1-LP-DIR-AF	5.32e-06	273	68	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.12	0	0	0	273
This study	1	187.6	-2.5	sr04e1-LP-DIR-AF	4.44e-06	273	69	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.14	0	0	0	273
This study	1	186.8	-3.2	sr04e1-LP-DIR-AF	3.69e-06	273	70	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.16	0	0	0	273
This study	1	187.1	-1.9	sr04e1-LP-DIR-AF	3.26e-06	273	71	LT-AF-Z:LP-DIR-AF	g	sr04e1	u	0.18	0	0	0	273
This study	1.6	185	-20.1	sr04f2-LP-DIR-AF	3.26e-05	273	72	LT-NO:LP-DIR-AF	g	sr04f2	u	0	0	0	0	273
This study	1.1	186.1	-24.4	sr04f2-LP-DIR-AF	2.04e-05	273	73	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.01	0	0	0	273
This study	0.9	183	-24.9	sr04f2-LP-DIR-AF	1.68e-05	273	74	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.02	0	0	0	273
This study	1	183.8	-25.1	sr04f2-LP-DIR-AF	1.48e-05	273	75	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.03	0	0	0	273
This study	1	181.7	-25	sr04f2-LP-DIR-AF	1.33e-05	273	76	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.04	0	0	0	273
This study	1	183.9	-24.7	sr04f2-LP-DIR-AF	1.1e-05	273	77	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.06	0	0	0	273
This study	1	179.4	-24.7	sr04f2-LP-DIR-AF	8.97e-06	273	78	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.08	0	0	0	273
This study	1	183.4	-25.1	sr04f2-LP-DIR-AF	7.33e-06	273	79	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.1	0	0	0	273
This study	0.8	181.8	-24.1	sr04f2-LP-DIR-AF	5e-06	273	80	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.14	0	0	0	273
This study	1	183.4	-24.9	sr04f2-LP-DIR-AF	4.04e-06	273	81	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.16	0	0	0	273
This study	1	181.3	-24.7	sr04f2-LP-DIR-AF	3.23e-06	273	82	LT-AF-Z:LP-DIR-AF	g	sr04f2	u	0.18	0	0	0	273
This study	1.3	189.8	-6.4	sr09b2-LP-DIR-AF	7.45e-05	273	83	LT-NO:LP-DIR-AF	g	sr09b2	u	0	0	0	0	273
This study	1.2	189.1	-6.6	sr09b2-LP-DIR-AF	7.24e-05	273	84	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.01	0	0	0	273
This study	1.5	188.2	-6.6	sr09b2-LP-DIR-AF	7.09e-05	273	85	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.02	0	0	0	273
This study	1.8	187.8	-6.5	sr09b2-LP-DIR-AF	6.98e-05	273	86	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.03	0	0	0	273
This study	1	189.4	-6.5	sr09b2-LP-DIR-AF	6.8e-05	273	87	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.04	0	0	0	273
This study	1	188.4	-6.6	sr09b2-LP-DIR-AF	6.28e-05	273	88	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.06	0	0	0	273
This study	1	189.3	-6.6	sr09b2-LP-DIR-AF	5.56e-05	273	89	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.08	0	0	0	273
This study	1	188.8	-6.6	sr09b2-LP-DIR-AF	4.76e-05	273	90	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.1	0	0	0	273
This study	1	188.8	-6.5	sr09b2-LP-DIR-AF	3.94e-05	273	91	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.12	0	0	0	273
This study	1	188.9	-6.4	sr09b2-LP-DIR-AF	3.22e-05	273	92	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.14	0	0	0	273
This study	1	188.9	-6.5	sr09b2-LP-DIR-AF	2.6e-05	273	93	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.16	0	0	0	273
This study	1	187.6	-5.6	sr09b2-LP-DIR-AF	2.09e-05	273	94	LT-AF-Z:LP-DIR-AF	g	sr09b2	u	0.18	0	0	0	273
This study	0.9	195.3	-10.8	sr09e2-LP-DIR-AF	0.000167	273	95	LT-NO:LP-DIR-AF	g	sr09e2	u	0	0	0	0	273
This study	1.6	195.1	-11	sr09e2-LP-DIR-AF	0.000158	273	96	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.01	0	0	0	273
This study	1.4	194.6	-11	sr09e2-LP-DIR-AF	0.000144	273	97	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.02	0	0	0	273
This study	1	194.6	-11.1	sr09e2-LP-DIR-AF	0.00012	273	98	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.03	0	0	0	273
This study	1	194.8	-11	sr09e2-LP-DIR-AF	9.11e-05	273	99	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.04	0	0	0	273
This study	1	194.3	-11	sr09e2-LP-DIR-AF	5.07e-05	273	100	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.06	0	0	0	273
This study	1	193.4	-10.9	sr09e2-LP-DIR-AF	2.92e-05	273	101	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.08	0	0	0	273
This study	1	194.3	-11	sr09e2-LP-DIR-AF	1.81e-05	273	102	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.1	0	0	0	273
This study	1	193.9	-10.8	sr09e2-LP-DIR-AF	1.2e-05	273	103	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.12	0	0	0	273
This study	1	195.9	-9.9	sr09e2-LP-DIR-AF	8.86e-06	273	104	LT-AF-Z:LP-DIR-AF	g	sr09e2	u	0.14	0	0	0	273
This study	1.3	193.8	12.5	sr09f2-LP-DIR-AF	0.000171	273	105	LT-NO:LP-DIR-AF	g	sr09f2	u	0	0	0	0	273
This study	1	193.1	13.5	sr09f2-LP-DIR-AF	0.000156	273	106	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.01	0	0	0	273
This study	1.3	193.5	14.1	sr09f2-LP-DIR-AF	0.000127	273	107	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.02	0	0	0	273
This study	1.1	193.2	13.7	sr09f2-LP-DIR-AF	9.24e-05	273	108	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.03	0	0	0	273
This study	1	194.2	14.4	sr09f2-LP-DIR-AF	6.34e-05	273	109	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.04	0	0	0	273
This study	1	193.3	14.2	sr09f2-LP-DIR-AF	3.28e-05	273	110	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.06	0	0	0	273
This study	1	192.5	14	sr09f2-LP-DIR-AF	1.86e-05	273	111	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.08	0	0	0	273
This study	1	193.3	13	sr09f2-LP-DIR-AF	1.23e-05	273	112	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.1	0	0	0	273
This study	1	192.1	13.1	sr09f2-LP-DIR-AF	8.63e-06	273	113	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.12	0	0	0	273
This study	1	192.8	12.3	sr09f2-LP-DIR-AF	6.37e-06	273	114	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.14	0	0	0	273
This study	1	192	11.8	sr09f2-LP-DIR-AF	4.93e-06	273	115	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.16	0	0	0	273
This study	1	192.5	11.7	sr09f2-LP-DIR-AF	4.45e-06	273	116	LT-AF-Z:LP-DIR-AF	g	sr09f2	u	0.18	0	0	0	273
This study	1.6	199.5	26	sr11a1-LP-DIR-AF	4.42e-05	273	117	LT-NO:LP-DIR-AF	g	sr11a1	u	0	0	0	0	273
This study	1	190.3	28.7	sr11a1-LP-DIR-AF	2.76e-05	273	118	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.01	0	0	0	273
This study	1.9	186.2	29.2	sr11a1-LP-DIR-AF	2.09e-05	273	119	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.02	0	0	0	273
This study	1.8	189.2	29.3	sr11a1-LP-DIR-AF	1.73e-05	273	120	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.03	0	0	0	273
This study	1	187.5	29.3	sr11a1-LP-DIR-AF	1.5e-05	273	121	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.04	0	0	0	273
This study	1	187	29.5	sr11a1-LP-DIR-AF	1.15e-05	273	122	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.06	0	0	0	273
This study	1	186	29.3	sr11a1-LP-DIR-AF	9.15e-06	273	123	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.08	0	0	0	273
This study	1	186.5	28.6	sr11a1-LP-DIR-AF	7.39e-06	273	124	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.1	0	0	0	273
This study	1	186.3	29.6	sr11a1-LP-DIR-AF	5.73e-06	273	125	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.12	0	0	0	273
This study	1	186.1	29.5	sr11a1-LP-DIR-AF	4.78e-06	273	126	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.14	0	0	0	273
This study	1	186.2	29.3	sr11a1-LP-DIR-AF	3.98e-06	273	127	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.16	0	0	0	273
This study	1	184.4	28.8	sr11a1-LP-DIR-AF	3.36e-06	273	128	LT-AF-Z:LP-DIR-AF	g	sr11a1	u	0.18	0	0	0	273
This study	0.7	219.3	20.8	sr11b1-LP-DIR-AF	5.06e-05	273	129	LT-NO:LP-DIR-AF	g	sr11b1	u	0	0	0	0	273
This study	1.4	202.9	30.5	sr11b1-LP-DIR-AF	3.06e-05	273	130	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.01	0	0	0	273
This study	0.9	199.5	30.5	sr11b1-LP-DIR-AF	1.93e-05	273	131	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.02	0	0	0	273
This study	1.7	198.7	30.4	sr11b1-LP-DIR-AF	1.36e-05	273	132	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.03	0	0	0	273
This study	1	197.5	30.9	sr11b1-LP-DIR-AF	1.03e-05	273	133	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.04	0	0	0	273
This study	1	196.5	30.5	sr11b1-LP-DIR-AF	7.04e-06	273	134	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.06	0	0	0	273
This study	1	195.9	29.6	sr11b1-LP-DIR-AF	5.36e-06	273	135	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.08	0	0	0	273
This study	1	196.7	28.6	sr11b1-LP-DIR-AF	4.14e-06	273	136	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.1	0	0	0	273
This study	1	197.3	31	sr11b1-LP-DIR-AF	3.41e-06	273	137	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.12	0	0	0	273
This study	1	197.3	29.2	sr11b1-LP-DIR-AF	2.88e-06	273	138	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.14	0	0	0	273
This study	1	197.2	29.6	sr11b1-LP-DIR-AF	2.47e-06	273	139	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.16	0	0	0	273
This study	1	195.1	27.5	sr11b1-LP-DIR-AF	1.99e-06	273	140	LT-AF-Z:LP-DIR-AF	g	sr11b1	u	0.18	0	0	0	273
This study	1.3	198.8	3.3	sr11c1-LP-DIR-AF	7.96e-05	273	141	LT-NO:LP-DIR-AF	g	sr11c1	u	0	0	0	0	273
This study	1.4	194.2	2.7	sr11c1-LP-DIR-AF	7.3e-05	273	142	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.01	0	0	0	273
This study	1.9	192.6	1.6	sr11c1-LP-DIR-AF	5.78e-05	273	143	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.02	0	0	0	273
This study	1.5	188.1	1.2	sr11c1-LP-DIR-AF	4.13e-05	273	144	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.03	0	0	0	273
This study	1	192	1.1	sr11c1-LP-DIR-AF	3.08e-05	273	145	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.04	0	0	0	273
This study	1	193.6	0.4	sr11c1-LP-DIR-AF	1.98e-05	273	146	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.06	0	0	0	273
This study	1	193.9	0.2	sr11c1-LP-DIR-AF	1.39e-05	273	147	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.08	0	0	0	273
This study	1	193.9	0.5	sr11c1-LP-DIR-AF	1.03e-05	273	148	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.1	0	0	0	273
This study	1	192.5	0.4	sr11c1-LP-DIR-AF	7.56e-06	273	149	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.12	0	0	0	273
This study	1	194.3	0.7	sr11c1-LP-DIR-AF	5.63e-06	273	150	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.14	0	0	0	273
This study	1	194.1	-0.8	sr11c1-LP-DIR-AF	4.29e-06	273	151	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.16	0	0	0	273
This study	1	194.9	-0.6	sr11c1-LP-DIR-AF	3.29e-06	273	152	LT-AF-Z:LP-DIR-AF	g	sr11c1	u	0.18	0	0	0	273
This study	2	177.6	7.7	sr11e2-LP-DIR-AF	7.25e-05	273	153	LT-NO:LP-DIR-AF	g	sr11e2	u	0	0	0	0	273
This study	2	184.3	-0.6	sr11e2-LP-DIR-AF	6.71e-05	273	154	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.01	0	0	0	273
This study	1.6	187.8	-2.6	sr11e2-LP-DIR-AF	5.02e-05	273	155	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.02	0	0	0	273
This study	1.4	187.3	-3.7	sr11e2-LP-DIR-AF	3.55e-05	273	156	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.03	0	0	0	273
This study	1	189.7	-3.7	sr11e2-LP-DIR-AF	2.55e-05	273	157	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.04	0	0	0	273
This study	1	189.2	-3.5	sr11e2-LP-DIR-AF	1.53e-05	273	158	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.06	0	0	0	273
This study	1	188	-4.4	sr11e2-LP-DIR-AF	1.02e-05	273	159	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.08	0	0	0	273
This study	1	189.1	-4.4	sr11e2-LP-DIR-AF	7.19e-06	273	160	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.1	0	0	0	273
This study	1	189.9	-4.1	sr11e2-LP-DIR-AF	5.37e-06	273	161	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.12	0	0	0	273
This study	1	187.3	-5.6	sr11e2-LP-DIR-AF	3.89e-06	273	162	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.14	0	0	0	273
This study	1	188.8	-5	sr11e2-LP-DIR-AF	2.99e-06	273	163	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.16	0	0	0	273
This study	1	189.7	-2.6	sr11e2-LP-DIR-AF	2.63e-06	273	164	LT-AF-Z:LP-DIR-AF	g	sr11e2	u	0.18	0	0	0	273
This study	0.8	158.2	-18.4	sr11g2-LP-DIR-AF	4.28e-05	273	165	LT-NO:LP-DIR-AF	g	sr11g2	u	0	0	0	0	273
This study	1.1	174.6	-15.4	sr11g2-LP-DIR-AF	2.66e-05	273	166	LT-AF-Z:LP-DIR-AF	g	sr11g2	u	0.01	0	0	0	273
This study	1	182.3	-13.5	sr11g2-LP-DIR-AF	1.69e-05	273	167	LT-AF-Z:LP-DIR-AF	g	sr11g2	u	0.02	0	0	0	273
This study	1.4	181.9	-13	sr11g2-LP-DIR-AF	1.22e-05	273	168	LT-AF-Z:LP-DIR-AF	g	sr11g2	u	0.03	0	0	0	273
This study	1	182.2	-12.3	sr11g2-LP-DIR-AF	9.28e-06	273	169	LT-AF-Z:LP-DIR-AF	g	sr11g2	u	0.04	0	0	0	273
